Sprint Week,ISO Week,Analysis Start,Analysis End,Evidence Type,Month,Market,Metric,Value,Unit,Direction,Confidence,Source,PDF Page,Note
vW36,2026-W36,2026-08-31,2026-09-06,Historical seasonal statistic,August,SPX,All-year monthly average,0.02,%,Neutral,High,Stock Trader's Almanac 2026_L.pdf,103,"Rank 10; up 41, down 34"
vW36,2026-W36,2026-08-31,2026-09-06,Historical seasonal statistic,August,SPX,Midterm-year monthly average,-0.40,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,103,"Rank 10; up 41, down 34"
vW36,2026-W36,2026-08-31,2026-09-06,Historical seasonal statistic,August,NDX proxy,All-year monthly average,0.30,%,Bullish,High,Stock Trader's Almanac 2026_L.pdf,103,"Rank 11; up 30, down 24"
vW36,2026-W36,2026-08-31,2026-09-06,Historical seasonal statistic,August,NDX proxy,Midterm-year monthly average,-1.40,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,103,"Rank 11; up 30, down 24"
vW36,2026-W36,2026-08-31,2026-09-06,Historical seasonal statistic,August,IWM proxy,All-year monthly average,0.10,%,Neutral,High,Stock Trader's Almanac 2026_L.pdf,103,"Rank 10; up 25, down 21"
vW36,2026-W36,2026-08-31,2026-09-06,Historical seasonal statistic,August,IWM proxy,Midterm-year monthly average,-1.40,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,103,"Rank 10; up 25, down 21"
vW36,2026-W36,2026-08-31,2026-09-06,Almanac highlight,August,Broad US market,Published seasonal observation,,,Bullish,Medium,Stock Trader's Almanac 2026_L.pdf,103,Harvesting made August the best stock market month 1901-1951
vW36,2026-W36,2026-08-31,2026-09-06,Almanac highlight,August,Broad US market,Published seasonal observation,,,Mixed,Medium,Stock Trader's Almanac 2026_L.pdf,103,"Now about 2% farm, August is the worst Dow and second worst S&P and NASDAQ (2000 up 11.7%, 2001 down 10.9%) month since 1988"
vW36,2026-W36,2026-08-31,2026-09-06,Almanac highlight,August,Broad US market,Published seasonal observation,,,Bearish,Medium,Stock Trader's Almanac 2026_L.pdf,103,"Second-shortest bear in history (45 days) caused by turmoil in Russia, currency crisis, and hedge fund debacle ended here in 1998, 1344.22-point drop in the Dow, 15th worst monthly point loss, off 15.1% second worst percent loss since 1941"
vW36,2026-W36,2026-08-31,2026-09-06,Almanac highlight,August,Broad US market,Published seasonal observation,,,Context,Medium,Stock Trader's Almanac 2026_L.pdf,103,Saddam Hussein triggered a 10.0% slide in 1990
vW36,2026-W36,2026-08-31,2026-09-06,Almanac highlight,August,Broad US market,Published seasonal observation,,,Bullish,Medium,Stock Trader's Almanac 2026_L.pdf,103,Best Dow gains: 1982 (11.5%) and 1984 (9.8%) as bear markets ended
vW36,2026-W36,2026-08-31,2026-09-06,Almanac highlight,August,Broad US market,Published seasonal observation,,,Bearish,Medium,Stock Trader's Almanac 2026_L.pdf,103,Next to last day S&P down 19 times last 29 years
vW36,2026-W36,2026-08-31,2026-09-06,Historical seasonal statistic,September,SPX,All-year monthly average,-0.70,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,116,"Rank 12; up 33, down 41"
