Sprint Week,ISO Week,Analysis Start,Analysis End,Evidence Type,Month,Market,Metric,Value,Unit,Direction,Confidence,Source,PDF Page,Note
vW39,2026-W39,2026-09-21,2026-09-27,Historical seasonal statistic,September,SPX,All-year monthly average,-0.70,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,116,"Rank 12; up 33, down 41"
vW39,2026-W39,2026-09-21,2026-09-27,Historical seasonal statistic,September,SPX,Midterm-year monthly average,-0.80,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,116,"Rank 12; up 33, down 41"
vW39,2026-W39,2026-09-21,2026-09-27,Historical seasonal statistic,September,NDX proxy,All-year monthly average,-0.90,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,116,"Rank 12; up 28, down 26"
vW39,2026-W39,2026-09-21,2026-09-27,Historical seasonal statistic,September,NDX proxy,Midterm-year monthly average,-1.60,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,116,"Rank 12; up 28, down 26"
vW39,2026-W39,2026-09-21,2026-09-27,Historical seasonal statistic,September,IWM proxy,All-year monthly average,-0.80,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,116,"Rank 12; up 24, down 22"
vW39,2026-W39,2026-09-21,2026-09-27,Historical seasonal statistic,September,IWM proxy,Midterm-year monthly average,-1.60,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,116,"Rank 12; up 24, down 22"
vW39,2026-W39,2026-09-21,2026-09-27,Almanac highlight,September,Broad US market,Published seasonal observation,,,Context,Medium,Stock Trader's Almanac 2026_L.pdf,116,Portfolio managers back after Labor Day tend to clean house in September
vW39,2026-W39,2026-09-21,2026-09-27,Almanac highlight,September,Broad US market,Published seasonal observation,,,Context,Medium,Stock Trader's Almanac 2026_L.pdf,116,"Biggest % loser on the S&P, Dow and NASDAQ since 1950 (pages 52 & 60)"
vW39,2026-W39,2026-09-21,2026-09-27,Almanac highlight,September,Broad US market,Published seasonal observation,,,Mixed,Medium,Stock Trader's Almanac 2026_L.pdf,116,"Streak of four great Dow Septembers averaging 4.2% gains ended in 1999 with six losers in a row averaging -5.9% (page 156), up four straight 2005-2007, down 6% in 2008 and 2011, up 7.7% in 2010, down big in four of last five years"
vW39,2026-W39,2026-09-21,2026-09-27,Almanac highlight,September,Broad US market,Published seasonal observation,,,Bearish,Medium,Stock Trader's Almanac 2026_L.pdf,116,Day after Labor Day Dow down 13 of last 16
vW39,2026-W39,2026-09-21,2026-09-27,Almanac highlight,September,Broad US market,Published seasonal observation,,,Bearish,Medium,Stock Trader's Almanac 2026_L.pdf,116,"S&P opened strong 18 of last 30 years but tends to close weak due to end-of-quarter mutual fund portfolio restructuring, last trading day: S&P down 18 of past 28"
vW39,2026-W39,2026-09-21,2026-09-27,Almanac highlight,September,Broad US market,Published seasonal observation,,,Bearish,Medium,Stock Trader's Almanac 2026_L.pdf,116,September Triple-Witching Week can be dangerous; week after is pitiful (page 108)
vW39,2026-W39,2026-09-21,2026-09-27,Calendar signal,,Broad US market,Week after monthly options expiration,-1.05,%,Bearish,Medium,Almanac PDF page 117,,2026-09-21 to 2026-09-27: Historical average across SPX/NDX-proxy/IWM-proxy: -1.05%.
