Sprint Week,ISO Week,Analysis Start,Analysis End,Evidence Type,Month,Market,Metric,Value,Unit,Direction,Confidence,Source,PDF Page,Note
vW30,2026-W30,2026-07-20,2026-07-26,Historical seasonal statistic,July,SPX,All-year monthly average,1.30,%,Bullish,High,Stock Trader's Almanac 2026_L.pdf,92,"Rank 4; up 45, down 30"
vW30,2026-W30,2026-07-20,2026-07-26,Historical seasonal statistic,July,SPX,Midterm-year monthly average,1.30,%,Bullish,High,Stock Trader's Almanac 2026_L.pdf,92,"Rank 4; up 45, down 30"
vW30,2026-W30,2026-07-20,2026-07-26,Historical seasonal statistic,July,NDX proxy,All-year monthly average,0.90,%,Bullish,High,Stock Trader's Almanac 2026_L.pdf,92,"Rank 7; up 31, down 23"
vW30,2026-W30,2026-07-20,2026-07-26,Historical seasonal statistic,July,NDX proxy,Midterm-year monthly average,-0.80,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,92,"Rank 7; up 31, down 23"
vW30,2026-W30,2026-07-20,2026-07-26,Historical seasonal statistic,July,IWM proxy,All-year monthly average,0.40,%,Bullish,High,Stock Trader's Almanac 2026_L.pdf,92,"Rank 9; up 25, down 21"
vW30,2026-W30,2026-07-20,2026-07-26,Historical seasonal statistic,July,IWM proxy,Midterm-year monthly average,-2.50,%,Bearish,High,Stock Trader's Almanac 2026_L.pdf,92,"Rank 9; up 25, down 21"
vW30,2026-W30,2026-07-20,2026-07-26,Almanac highlight,July,Broad US market,Published seasonal observation,,,Bullish,Medium,Stock Trader's Almanac 2026_L.pdf,92,July is the best month of the third quarter (page 68)
vW30,2026-W30,2026-07-20,2026-07-26,Almanac highlight,July,Broad US market,Published seasonal observation,,,Context,Medium,Stock Trader's Almanac 2026_L.pdf,92,Start of 2nd half brings an inflow of retirement funds
vW30,2026-W30,2026-07-20,2026-07-26,Almanac highlight,July,Broad US market,Published seasonal observation,,,Bullish,Medium,Stock Trader's Almanac 2026_L.pdf,92,First trading day S&P up 32 of last 36
vW30,2026-W30,2026-07-20,2026-07-26,Almanac highlight,July,Broad US market,Published seasonal observation,,,Bullish,Medium,Stock Trader's Almanac 2026_L.pdf,92,Graph above shows strength in the first half of July
vW30,2026-W30,2026-07-20,2026-07-26,Almanac highlight,July,Broad US market,Published seasonal observation,,,Bullish,Medium,Stock Trader's Almanac 2026_L.pdf,92,Huge gain in July usually provides better buying opportunity over next four months
vW30,2026-W30,2026-07-20,2026-07-26,Almanac highlight,July,Broad US market,Published seasonal observation,,,Bearish,Medium,Stock Trader's Almanac 2026_L.pdf,92,Start of NASDAQ’s worst four months of the year (page 60 & 150)
vW30,2026-W30,2026-07-20,2026-07-26,Calendar signal,,Broad US market,Week after monthly options expiration,-0.10,%,Neutral,Medium,Almanac PDF page 93,,2026-07-20 to 2026-07-26: Historical average across SPX/NDX-proxy/IWM-proxy: -0.10%.
vW30,2026-W30,2026-07-20,2026-07-26,Calendar signal,,Broad US market,Q2 2026 earnings season,,,Mixed / volatility,Medium,Calendar convention (approximate window),,2026-07-13 to 2026-08-14: Approximate broad reporting window; expect higher company and index dispersion.
